kind,test,addr,expected,actual,result
TEST,rand_test,0x00000000,0x00000000,0x00000000,START
MON_WRITE,monitor,0x00000008,0x0484d609,0x0484d609,OBSERVED
WRITE,model,0x00000008,0x0484d609,0x0484d609,UPDATE
MON_READ,monitor,0x0000001c,0x00000000,0x00000000,OBSERVED
READ,rand_test,0x0000001c,0x00000000,0x00000000,PASS
MON_READ,monitor,0x00000014,0x00000000,0x00000000,OBSERVED
READ,rand_test,0x00000014,0x00000000,0x00000000,PASS
MON_WRITE,monitor,0x0000001c,0x86d7cd0d,0x86d7cd0d,OBSERVED
WRITE,model,0x0000001c,0x86d7cd0d,0x86d7cd0d,UPDATE
MON_WRITE,monitor,0x0000001c,0xf6d457ed,0xf6d457ed,OBSERVED
WRITE,model,0x0000001c,0xf6d457ed,0xf6d457ed,UPDATE
MON_WRITE,monitor,0x0000001c,0x633724c6,0x633724c6,OBSERVED
WRITE,model,0x0000001c,0x633724c6,0x633724c6,UPDATE
MON_READ,monitor,0x00000008,0x0484d609,0x0484d609,OBSERVED
READ,rand_test,0x00000008,0x0484d609,0x0484d609,PASS
MON_READ,monitor,0x0000001c,0x633724c6,0x633724c6,OBSERVED
READ,rand_test,0x0000001c,0x633724c6,0x633724c6,PASS
MON_WRITE,monitor,0x0000001c,0xf93069f2,0xf93069f2,OBSERVED
WRITE,model,0x0000001c,0xf93069f2,0xf93069f2,UPDATE
MON_WRITE,monitor,0x00000010,0x62ca4ec5,0x62ca4ec5,OBSERVED
WRITE,model,0x00000010,0x62ca4ec5,0x62ca4ec5,UPDATE
MON_WRITE,monitor,0x00000014,0x00000001,0x00000001,OBSERVED
WRITE,model,0x00000014,0x00000001,0x00000001,UPDATE
MON_READ,monitor,0x0000000c,0x00000000,0x00000000,OBSERVED
READ,rand_test,0x0000000c,0x00000000,0x00000000,PASS
MON_WRITE,monitor,0x00000000,0x00000010,0x00000010,OBSERVED
WRITE,model,0x00000000,0x00000010,0x00000010,UPDATE
MON_WRITE,monitor,0x00000008,0x4b203e96,0x4b203e96,OBSERVED
WRITE,model,0x00000008,0x4b203e96,0x4b203e96,UPDATE
MON_READ,monitor,0x00000014,0x00000000,0x00000000,OBSERVED
READ,rand_test,0x00000014,0x00000000,0x00000000,PASS
MON_READ,monitor,0x0000001c,0xf93069f2,0xf93069f2,OBSERVED
READ,rand_test,0x0000001c,0xf93069f2,0xf93069f2,PASS
MON_READ,monitor,0x00000008,0x4b203e96,0x4b203e96,OBSERVED
READ,rand_test,0x00000008,0x4b203e96,0x4b203e96,PASS
MON_WRITE,monitor,0x0000001c,0x67c572cf,0x67c572cf,OBSERVED
WRITE,model,0x0000001c,0x67c572cf,0x67c572cf,UPDATE
MON_READ,monitor,0x0000001c,0x67c572cf,0x67c572cf,OBSERVED
READ,rand_test,0x0000001c,0x67c572cf,0x67c572cf,PASS
MON_WRITE,monitor,0x00000010,0xf968bdf2,0xf968bdf2,OBSERVED
WRITE,model,0x00000010,0xf968bdf2,0xf968bdf2,UPDATE
MON_WRITE,monitor,0x0000001c,0x6c4b34d8,0x6c4b34d8,OBSERVED
WRITE,model,0x0000001c,0x6c4b34d8,0x6c4b34d8,UPDATE
MON_WRITE,monitor,0x00000008,0xf5c50deb,0xf5c50deb,OBSERVED
WRITE,model,0x00000008,0xf5c50deb,0xf5c50deb,UPDATE
MON_WRITE,monitor,0x0000001c,0xd71513ae,0xd71513ae,OBSERVED
WRITE,model,0x0000001c,0xd71513ae,0xd71513ae,UPDATE
MON_WRITE,monitor,0x00000000,0x00000001,0x00000001,OBSERVED
WRITE,model,0x00000000,0x00000001,0x00000001,UPDATE
MON_READ,monitor,0x0000001c,0xd71513ae,0xd71513ae,OBSERVED
READ,rand_test,0x0000001c,0xd71513ae,0xd71513ae,PASS
MON_READ,monitor,0x0000000c,0x7215f9f5,0x7215f9f5,OBSERVED
READ,rand_test,0x0000000c,0x7215f9f5,0x7215f9f5,PASS
MON_WRITE,monitor,0x00000018,0x8aaa4b15,0x8aaa4b15,OBSERVED
WRITE,model,0x00000018,0x8aaa4b15,0x8aaa4b15,UPDATE
MON_READ,monitor,0x0000001c,0xd71513ae,0xd71513ae,OBSERVED
READ,rand_test,0x0000001c,0xd71513ae,0xd71513ae,PASS
MON_WRITE,monitor,0x0000001c,0xcfa1559f,0xcfa1559f,OBSERVED
WRITE,model,0x0000001c,0xcfa1559f,0xcfa1559f,UPDATE
MON_READ,monitor,0x00000000,0x00000001,0x00000001,OBSERVED
READ,rand_test,0x00000000,0x00000001,0x00000001,PASS
MON_READ,monitor,0x0000001c,0xcfa1559f,0xcfa1559f,OBSERVED
READ,rand_test,0x0000001c,0xcfa1559f,0xcfa1559f,PASS
MON_WRITE,monitor,0x00000014,0x00000001,0x00000001,OBSERVED
WRITE,model,0x00000014,0x00000001,0x00000001,UPDATE
MON_READ,monitor,0x00000000,0x00000001,0x00000001,OBSERVED
READ,rand_test,0x00000000,0x00000001,0x00000001,PASS
MON_READ,monitor,0x00000004,0x00000001,0x00000001,OBSERVED
READ,rand_test,0x00000004,0x00000001,0x00000001,PASS
MON_WRITE,monitor,0x0000001c,0x612ccec2,0x612ccec2,OBSERVED
WRITE,model,0x0000001c,0x612ccec2,0x612ccec2,UPDATE
MON_WRITE,monitor,0x0000001c,0x9ef2ed3d,0x9ef2ed3d,OBSERVED
WRITE,model,0x0000001c,0x9ef2ed3d,0x9ef2ed3d,UPDATE
MON_WRITE,monitor,0x00000010,0xb6e5816d,0xb6e5816d,OBSERVED
WRITE,model,0x00000010,0xb6e5816d,0xb6e5816d,UPDATE
MON_READ,monitor,0x0000001c,0x9ef2ed3d,0x9ef2ed3d,OBSERVED
READ,rand_test,0x0000001c,0x9ef2ed3d,0x9ef2ed3d,PASS
MON_READ,monitor,0x0000001c,0x9ef2ed3d,0x9ef2ed3d,OBSERVED
READ,rand_test,0x0000001c,0x9ef2ed3d,0x9ef2ed3d,PASS
MON_WRITE,monitor,0x0000001c,0xa48b4b49,0xa48b4b49,OBSERVED
WRITE,model,0x0000001c,0xa48b4b49,0xa48b4b49,UPDATE
MON_READ,monitor,0x0000001c,0xa48b4b49,0xa48b4b49,OBSERVED
READ,rand_test,0x0000001c,0xa48b4b49,0xa48b4b49,PASS
MON_WRITE,monitor,0x00000010,0x471a0c8e,0x471a0c8e,OBSERVED
WRITE,model,0x00000010,0x471a0c8e,0x471a0c8e,UPDATE
MON_WRITE,monitor,0x00000000,0x00000010,0x00000010,OBSERVED
WRITE,model,0x00000000,0x00000010,0x00000010,UPDATE
MON_READ,monitor,0x0000000c,0x00000000,0x00000000,OBSERVED
READ,rand_test,0x0000000c,0x00000000,0x00000000,PASS
MON_READ,monitor,0x0000000c,0x00000000,0x00000000,OBSERVED
READ,rand_test,0x0000000c,0x00000000,0x00000000,PASS
MON_READ,monitor,0x0000001c,0xa48b4b49,0xa48b4b49,OBSERVED
READ,rand_test,0x0000001c,0xa48b4b49,0xa48b4b49,PASS
MON_READ,monitor,0x0000000c,0x00000000,0x00000000,OBSERVED
READ,rand_test,0x0000000c,0x00000000,0x00000000,PASS
MON_WRITE,monitor,0x0000001c,0x94cfc129,0x94cfc129,OBSERVED
WRITE,model,0x0000001c,0x94cfc129,0x94cfc129,UPDATE
MON_READ,monitor,0x00000008,0xf5c50deb,0xf5c50deb,OBSERVED
READ,rand_test,0x00000008,0xf5c50deb,0xf5c50deb,PASS
MON_READ,monitor,0x00000014,0x00000000,0x00000000,OBSERVED
READ,rand_test,0x00000014,0x00000000,0x00000000,PASS
MON_READ,monitor,0x0000001c,0x94cfc129,0x94cfc129,OBSERVED
READ,rand_test,0x0000001c,0x94cfc129,0x94cfc129,PASS
MON_WRITE,monitor,0x00000010,0x95090b2a,0x95090b2a,OBSERVED
WRITE,model,0x00000010,0x95090b2a,0x95090b2a,UPDATE
MON_READ,monitor,0x0000001c,0x94cfc129,0x94cfc129,OBSERVED
READ,rand_test,0x0000001c,0x94cfc129,0x94cfc129,PASS
MON_WRITE,monitor,0x00000000,0x00000079,0x00000079,OBSERVED
WRITE,model,0x00000000,0x00000079,0x00000079,UPDATE
MON_READ,monitor,0x0000001c,0x94cfc129,0x94cfc129,OBSERVED
READ,rand_test,0x0000001c,0x94cfc129,0x94cfc129,PASS
MON_WRITE,monitor,0x00000014,0x00000002,0x00000002,OBSERVED
WRITE,model,0x00000014,0x00000002,0x00000002,UPDATE
MON_WRITE,monitor,0x00000010,0xbcd18779,0xbcd18779,OBSERVED
WRITE,model,0x00000010,0xbcd18779,0xbcd18779,UPDATE
MON_WRITE,monitor,0x0000001c,0xc9c65d93,0xc9c65d93,OBSERVED
WRITE,model,0x0000001c,0xc9c65d93,0xc9c65d93,UPDATE
MON_WRITE,monitor,0x0000001c,0xedcb69db,0xedcb69db,OBSERVED
